,blog
0,"updates will most likely be weekly, and done by my mom. occasionally i will do it, but most likely, i'll be writing letters in m tent at night, sending them to her, and she'll put in a little info. photos wont come untill at least cancun...  it feels good to be going somewhere again."
1,"my route will be some of the very well mapped out bike route's, lanes and paths from here to tecate. tecate is my goal for the day.       "
2,"3-1-04 Guess I was wrong about Tecate.  I thought it was above the border but he and  it are in Mexico!!!!! seans version: leaving a place with friends and a soft place to sleep is hard to do, but its really nice to be back on the road again. i left at around noon on sunday. the bike infrastructure in san diego is AMAZING. bike lanes and paths everywhere. i stopped at a park just outside of the city and made the last of the phone calls from my cell phone. made it to route 94, and proceeded to go up and down and up and up. then i went up again. lots of big beautiful mountains outside of san diego. i passed a border patrol checkpoint around 4:30. a little further up the road i spotted an unlocked gat to some BLM lands. so i made my way in and found a decent, level spot out of site to set up for the night. some california rednecks were having target practice on the other side of the hill from me. mostly pistols, with some shotgun blasts thrown in for good measure. after it got too dark for them to see what they were shooting at(which was nothing in the first place) they took off. a few hours later, in complete darkness, the coyotes started doing thier thing. i swear they have there own complex language system. if you ever listen to the jibber jabber of coyotes, you will not doubt language in wild animals. they took off for thier late night stroll, and returned around 4am, jibbering just as relentlessly as before.  Those Sierra mountains are bigger than they appear.  From San Diego to Tecate ( Baja California norte) he travelled up mountains that went to 14,000 feet but he never went past 8 or 9,000. (Spectacular scenery.)  That was enough on single speed. Incredible!  Why a single speed?  Ask Sean.  By the time he finally arrived in Tecate  ( before 3:30pm) he was exhausted.  He is staying at one of their more luxurious motels ( $20.00 nightly)just to rest.  Guess he got out of shape in Studio City.  That will teach him not to procrastinate.  Nah!  Nothing will ever teach him that.  Tomorrow he hopes to continue down the Baja California Norte.  He estimates 5-7 days on the Baja and then over to the mainland.  He called on his cell phone.  I don't want to know the cost although it did not read roaming.  Probably just had $$Mom$$ signs on it.  Once he gets his bike legs back he should be making good time.  Mom   "
3,"Sean is the only son with an older and younger sister but large extended Irish families on both sides.  His dad is a retired firefighter and I am a teacher.  He had an idyllic upbringing in the mountains of northwestern NJ.  He went to parochial school before attending art college in Philadelphia.  Sean was living in NYC before the trip.  He has worked many different jobs while trying to exist as an artist;bike messenger ( another dream), construction, freelance photographer, bike repair and sales... Sean is an extremely creative starving artist.  His work does not include pretty scenes for Mom's living room. The Brooklyn Museum would love his work.  His photography is exceptional and more acceptable ( to Mom).  We have no idea where he gets his creativity or originality from. It amazes us. My ancestry goes back to the Vikings on one side and we think there must have been an artist among them.  Sean is the first since then.   He has always been a free spirit. Thirteen years of parochial school did not mold him to comform with our standards.  We love him and accept his dreams.  This trip is one of the many. He began serious riding at age 16 and has done all kinds of riding ( trial, road, mountain ...) since then.  He took courses after college on building a bike from scratch and worked at The Route 15 Bike Shop in Lake Hopatcong (Fred and Chris - this is a plug). He learned the bike trade there.  Sean seriously researched his trip.  When he left he had directions for every bike trail he needed  to cross the US.  He had researched edible vegetation but was disappointed that the rest of the family wouldn't join him to ""graze"" for dinner. I have noticed that he didn't adhere to this method of food gathering or his raw food diet on the trip.  As Grandma used to say ""Beggers can't be Choosers.""  He had a training trip for endurance and basic needs.  His dad and I were impressed with his preparations. He chose to make this trip for himself. A lot of people have asked if he was sponsored or if he was doing it for a cause.  His handouts come from his savings, Mom and those he meets along the way.  Thanks to all who have fed him and given him shelter.  He is certainly not alone on the trip as there are many of us riding along with him, vicariously living a great adventure through Sean.  While this is not his first trip, it certainly is his longest and probably won't be his last.   He likes to speed up my aging process.  For any asthmatics following his travels, he is one of you.  He has flatlined twice in his life but keeps coming back.  He is a chronic asthmatic with triggers in changes in the weather.  Riding has probably given him greater lung capacity but one trigger is all it takes to sideline him.  He is certainly the poster boy for living your life to the fullest while taking some necessary precautions. Anyone who knows Sean understands his desire to make this trip and to do it alone, sleeping in fields, woods and behind dirt hills when he doesn't want to spend his money on normal shelters.  He is a very intelligent and kind soul who loves the outdoors and whose limits know no bounds.  We just hope he comes home safely in time for the triumphvirate ( Mother's Day, his sister's birthday and her college graduation).  His freedom is everyone's dream! Mom
"
4,
5,
6,
7,        
8,"the larger, flatter boulders are painted with colorful slogans, sayings and advertisements. i suddenly feel a comraderie with those in rv's and wave at all of them. they are after all, just doing something similar in a different vehicle.  i passed one house where the dogs(who were actually chained, unlike most of the many free roaming dogs here)came out and barked wildly at me inches from my legs as i ignored them and strolled past. they stopped after i passed the property line, as i expected. i had a delicious meal in valle de las palmas, ordered with the help of an expatriate american from san diego. after that, it was a long, steep walk up a mountain. i was offered a job by a road crew that was sweeping the drain channel on the side of the road. i declined. ""este es mejor que trabajo"", i said, ""this is better than work"". near the top, i saw the first of the caravans of rvs. plates from different states, on a mass exodus from whatever beach they had all been camping on for the winter. not a bad life for anyone... after cresting that hill, it was a series of long rollers into valle guadalupe. there was a sign advertising camping spots just before town, and i didn't think twice about riding right by. it just didn't look very nice. i considered a couple of spots for free camping, but scratched them for the presence of stray dogs.  eventually i came upon a sign for an inn, but the gate was locked and noone was there. the fence continued up to a restaurant which had just closed. i asked a worker if i could camp by the picnic tables for the night, and he asked the boss, Joaquin, who agreed, and gave me my choice of spots and use of the bathroom for free.             "
9,"the owner tried his best to remove my bb, but only succeeded in stripping the teeth of the bb a little with his rounded off remover. the owner of another local shop stopped by and was looking at my bike. he took it over to his shop and it still wouldn't budge. we all figured it would be alright for a little while. i rode off out of town, stopping to fill my water bladder for 10 cents a liter.  out of town, down a long straight road, and entering the hills, i saw a military checkpoint up ahead, and a balneario(bathing resort[kind of like a campground with pools and a water slide]) off to the right. i stopped in at the balneario, and decided to stay. as usual, because it is winter, i had the run of the place.                     "
